annual_output,mean_daily_loss,mean_idle,mean_shortage,utilization,max_daily_pens,loss_std,loss_p95,loss_cvar95,rental_day_ratio,planned_matings,executed_matings,execution_rate,scheme,N,R,h,seed,phase,q_max,B,engine_version,recomputed
1177.6,10.224109589041095,5.62958904109589,1.5315068493150685,96.34099804305283,128,7.808401176639945,27.0,32.56730769230769,0.3019178082191781,4641,4641,1.0,C,378,8,35,1006,screen,28.0,0.0,v2.2.1,True
1147.6,11.650958904109588,7.863561643835617,1.2624657534246575,94.10616438356165,126,6.280568264999163,24.0,27.365591397849464,0.2608219178082192,4550,4550,1.0,C,378,8,35,1006,screen,28.0,2.0,v2.2.1,True
1133.0,13.841095890410958,10.407123287671233,1.1446575342465752,91.72994129158512,124,7.4479891687632644,27.0,29.14516129032258,0.2608219178082192,4431,4431,1.0,C,378,8,35,1006,screen,28.0,4.0,v2.2.1,True
1153.4,10.924931506849315,6.6378082191780825,1.429041095890411,95.34931506849314,125,6.535694654302281,24.0,28.419642857142858,0.2915068493150685,3773,3773,1.0,C,378,8,35,1007,screen,21.0,0.0,v2.2.1,True
1140.6,13.733150684931507,9.258630136986302,1.4915068493150685,93.06506849315068,126,7.211978506777167,27.0,29.96039603960396,0.27835616438356164,3738,3738,1.0,C,378,8,35,1007,screen,21.0,2.0,v2.2.1,True
1103.4,14.964931506849315,11.823561643835616,1.0471232876712329,90.37818003913894,124,8.012180817753721,28.0,30.256410256410255,0.2328767123287671,3584,3584,1.0,C,378,8,35,1007,screen,21.0,4.0,v2.2.1,True
1170.2,10.455890410958904,5.803835616438356,1.5506849315068494,96.20254403131115,126,6.907387793394442,24.0,28.181818181818183,0.286027397260274,4592,4592,1.0,C,378,8,35,1007,screen,28.0,0.0,v2.2.1,True
1140.6,13.733150684931507,9.258630136986302,1.4915068493150685,93.06506849315068,126,7.211978506777167,27.0,29.96039603960396,0.27835616438356164,4543,4543,1.0,C,378,8,35,1007,screen,28.0,2.0,v2.2.1,True
1113.0,14.363835616438356,11.577534246575343,0.9287671232876712,90.4921722113503,124,8.092137087840383,28.0,29.836734693877553,0.2158904109589041,4424,4424,1.0,C,378,8,35,1007,screen,28.0,4.0,v2.2.1,True
1159.6,11.955068493150685,7.469041095890411,1.4953424657534247,94.66634050880627,125,7.132606574324703,26.799999999999955,29.782608695652176,0.27616438356164386,3843,3843,1.0,C,378,8,35,1008,screen,21.0,0.0,v2.2.1,True
