annual_output,mean_daily_loss,mean_idle,mean_shortage,utilization,max_daily_pens,loss_std,loss_p95,loss_cvar95,rental_day_ratio,planned_matings,executed_matings,execution_rate,scheme,N,R,h,seed,phase,q_max,B,engine_version,recomputed
1087.2,3.83013698630137,3.759452054794521,0.0235616438356164,96.66438356164385,115,1.938662280944724,7.0,7.44,0.0180821917808219,0,0,0.0,B,378,8,40,2018,final,,,v2.2,False
1234.2,7.138630136986301,3.8213698630136985,1.1057534246575342,97.57534246575342,122,4.983741470371347,18.0,20.04672897196261,0.284931506849315,3990,3990,1.0,C_h40,378,8,40,2018,final,21.0,0.0,v2.2,False
1231.2,4.8054794520547945,3.224109589041096,0.5271232876712328,97.59197651663403,120,3.6101059120178927,12.0,14.90721649484536,0.1994520547945205,4116,4116,1.0,C_h45,378,8,45,2018,final,21.0,0.0,v2.2,False
1240.8,23.366575342465755,0.0010958904109589,7.788493150684931,106.95303326810178,127,8.19190607625726,36.0,37.4,0.9956164383561644,0,0,0.0,A,426,9,40,2019,final,,,v2.2,False
1092.6,3.90027397260274,3.78027397260274,0.04,96.66046966731898,115,2.3756174016311946,8.0,8.685897435897436,0.0306849315068493,0,0,0.0,B,378,8,40,2019,final,,,v2.2,False
1254.6,7.52931506849315,4.047671232876712,1.1605479452054794,97.42221135029354,122,5.080313399246054,18.0,20.448529411764707,0.2613698630136986,3955,3955,1.0,C_h40,378,8,40,2019,final,21.0,0.0,v2.2,False
1216.8,4.386849315068493,3.0076712328767123,0.4597260273972602,97.72504892367904,124,3.679966239801048,9.0,11.780104712041885,0.181917808219178,4130,4130,1.0,C_h45,378,8,45,2019,final,21.0,0.0,v2.2,False
1262.6,25.26082191780822,0.0,8.42027397260274,107.51810176125244,128,7.394204432696042,36.0,37.73493975903615,1.0,0,0,0.0,A,426,9,40,2020,final,,,v2.2,False
1110.4,3.5654794520547943,3.461917808219178,0.0345205479452054,96.93982387475538,115,1.8831584502155203,7.0,7.252252252252252,0.0268493150684931,0,0,0.0,B,378,8,40,2020,final,,,v2.2,False
1203.0,7.684383561643836,4.330958904109589,1.1178082191780825,97.1311154598826,124,6.053680052444233,21.0,24.0,0.267945205479452,3934,3934,1.0,C_h40,378,8,40,2020,final,21.0,0.0,v2.2,False
1208.2,4.863013698630137,3.51013698630137,0.450958904109589,97.26859099804304,119,3.3232099640667863,10.0,12.198473282442748,0.1967123287671233,4011,4011,1.0,C_h45,378,8,45,2020,final,21.0,0.0,v2.2,False
1261.6,25.326575342465752,0.0,8.442191780821918,107.53767123287672,128,7.147696272529064,36.0,37.75409836065574,1.0,0,0,0.0,A,426,9,40,2021,final,,,v2.2,False
1083.4,4.436712328767123,4.296986301369863,0.0465753424657534,96.2049902152642,116,2.246212732897832,8.0,8.615853658536585,0.0295890410958904,0,0,0.0,B,378,8,40,2021,final,,,v2.2,False
1239.2,6.917808219178082,3.9408219178082193,0.9923287671232875,97.3674168297456,124,4.82680695376371,15.0,18.196319018404907,0.2608219178082192,3976,3976,1.0,C_h40,378,8,40,2021,final,21.0,0.0,v2.2,False
1213.0,6.485479452054794,4.371506849315068,0.7046575342465753,96.72602739726028,121,4.619031545171,15.0,18.89189189189189,0.1956164383561643,4109,4109,1.0,C_h45,378,8,45,2021,final,21.0,0.0,v2.2,False
1260.0,23.86191780821918,0.0,7.953972602739726,107.1017612524462,126,5.976984516268592,33.0,34.162921348314605,1.0,0,0,0.0,A,426,9,40,2022,final,,,v2.2,False
1097.6,3.907945205479452,3.8915068493150686,0.0054794520547945,96.5303326810176,114,2.025946659074953,8.0,8.385321100917432,0.004931506849315,0,0,0.0,B,378,8,40,2022,final,,,v2.2,False
1252.6,7.224657534246575,3.734794520547945,1.1632876712328768,97.70401174168298,123,5.417437044287196,21.0,23.46315789473684,0.2657534246575342,3948,3948,1.0,C_h40,378,8,40,2022,final,21.0,0.0,v2.2,False
